我的商店广告报告 - Shopee 马来西亚
用户名称:,kuca1.my
报告创建时间：,23/03/2023 23:12
时间：,22/03/2023 - 22/03/2023
商店ID:,833005508

排序,广告名称,状态,商品编号,广告类型,关键字/展示位置,匹配类型,搜寻结果,手动/自动,开始日期,结束日期,浏览数,点击数,点击率,平均排名,转化,直接转化,转化率,直接转化率,每点击成本,每一转化的成本,每一直接转化的成本,商品已出售,直接已售商品,销售金额,直接销售金额,花费,投资产出比,直接投资产出比,成本收入对比,直接成本收入对比,商品浏览数,商品点击数,商品点击率
39,3 Adjustable speeds ! 4in1 KUCA small table Adjustable height 28-35cm laptop table foldable table study table use a table in bed meja belajar meja lipat meja study,正常,19654742951,商品搜索广告,meja belajar,广泛匹配,table,手动,02/11/2022 00:00,无限制,21,2,9.52%,13.952380952380953,0,0,0.00%,0.00%,0.41,0.00,0.00,0,0,0.00,0.00,0.81,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
40,2023NEW KUCA kerusi gaming Technical cloth Material gaming chair fabric chair ergonomic chair Office Chair adjustable chair kerusi kain kerusi permainan,正常,15293402502,商品搜索广告,kerusi gaming,精准匹配,kerusi gaming,手动,28/10/2022 00:00,无限制,19,2,10.53%,13.947368421052632,0,0,0.00%,0.00%,0.29,0.00,0.00,0,0,0.00,0.00,0.59,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
41,2023NEW KUCA kerusi gaming Technical cloth Material gaming chair fabric chair ergonomic chair Office Chair adjustable chair kerusi kain kerusi permainan,正常,15293402502,商品搜索广告,office chair,广泛匹配,Office chair,手动,28/10/2022 00:00,无限制,18,2,11.11%,24.444444444444443,0,0,0.00%,0.00%,0.29,0.00,0.00,0,0,0.00,0.00,0.58,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
42,2023NEW KUCA kerusi gaming Technical cloth Material gaming chair fabric chair ergonomic chair Office Chair adjustable chair kerusi kain kerusi permainan,正常,15293402502,商品搜索广告,ergonomic chair,广泛匹配,Ergonomic chair,手动,28/10/2022 00:00,无限制,13,2,15.38%,8.538461538461538,0,0,0.00%,0.00%,0.65,0.00,0.00,0,0,0.00,0.00,1.29,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
43,2023NEW KUCA kerusi gaming Technical cloth Material gaming chair fabric chair ergonomic chair Office Chair adjustable chair kerusi kain kerusi permainan,正常,15293402502,商品搜索广告,kerusi gaming,广泛匹配,Gaming chair,手动,28/10/2022 00:00,无限制,12,2,16.67%,11.0,0,0,0.00%,0.00%,0.60,0.00,0.00,0,0,0.00,0.00,1.21,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
44,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,drawer organizer,广泛匹配,clothes organizer,手动,09/12/2022 00:00,无限制,12,2,16.67%,9.583333333333334,0,0,0.00%,0.00%,0.14,0.00,0.00,0,0,0.00,0.00,0.28,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
45,KUCA kerusi gaming x big eared dog gaming chair with foot rest ergonomic chair office chair computer chair kerusi,正常,21754155640,商品搜索广告,computer chair,广泛匹配,Kerusi Belajar,手动,28/10/2022 00:00,无限制,12,2,16.67%,5.166666666666667,0,0,0.00%,0.00%,0.19,0.00,0.00,0,0,0.00,0.00,0.38,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
46,KUCA kerusi gaming x big eared dog gaming chair with foot rest ergonomic chair office chair computer chair kerusi,正常,21754155640,商品搜索广告,kuca gaming chair,精准匹配,kuca gaming chair,手动,28/10/2022 00:00,无限制,11,2,18.18%,1.0,0,0,0.00%,0.00%,0.47,0.00,0.00,0,0,0.00,0.00,0.93,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
47,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,almari baju budak,广泛匹配,Rak baju budak,手动,09/12/2022 00:00,无限制,10,2,20.00%,5.0,0,0,0.00%,0.00%,0.22,0.00,0.00,0,0,0.00,0.00,0.44,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
48,KUCA kerusi gaming x big eared dog gaming chair with foot rest ergonomic chair office chair computer chair kerusi,正常,21754155640,商品搜索广告,kerusi gaming,广泛匹配,Gamer chair,手动,28/10/2022 00:00,无限制,10,2,20.00%,3.1,0,0,0.00%,0.00%,0.36,0.00,0.00,0,0,0.00,0.00,0.73,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
